Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Comments,Intent
anthony57@example.org,+1-241-467-2479x02572,729,26-35,Single,688910,job relocation,1
collinmccoy@example.org,8922299989,604,36-50,Single,897304,job relocation,1
vroberts@example.org,345-751-9523x102,394,51+,Married,473005,job relocation,1
craig42@example.net,(995)585-5666,792,36-50,Married,449590,just browsing,0
whitney85@example.com,791-856-5311,353,51+,Married with Kids,974828,not interested,0
jessicabates@example.com,690-572-3165,745,51+,Married,895415,need home loan,0
laurengreen@example.org,267.508.4442x65709,574,18-25,Single,466295,just browsing,0
nicholas11@example.org,318.202.4511x1307,834,51+,Married,317869,urgent need to buy,1
william87@example.net,001-315-973-1327x07348,403,18-25,Single,242822,just browsing,0
margaretjames@example.org,(988)640-7622,306,36-50,Married with Kids,708039,not interested,0
sarah28@example.com,+1-639-574-0571,403,36-50,Single,298194,job relocation,1
ssalinas@example.net,+1-245-792-3630x325,515,26-35,Single,921908,just browsing,0
joneswendy@example.net,331.288.5154,583,18-25,Single,509356,want to buy soon,1
dbeck@example.net,350.944.9007x70315,382,36-50,Single,176200,want to buy soon,1
erichudson@example.com,811-338-0410x260,678,26-35,Single,490566,want to buy soon,1
badkins@example.net,001-666-547-4994x4934,380,36-50,Single,886924,need home loan,0
rcastaneda@example.com,001-535-537-4311x41024,447,26-35,Single,268661,want to buy soon,1
ritagomez@example.com,738-570-3305,396,51+,Married,828560,want to buy soon,1
erica79@example.net,379-646-0619,805,18-25,Married with Kids,516515,job relocation,1
xhowell@example.com,+1-802-647-4016,545,51+,Married,586807,job relocation,1
tylersmith@example.com,2789493461,705,36-50,Married with Kids,344049,just browsing,0
carolyn82@example.com,001-724-380-1689x96973,778,51+,Married with Kids,235567,urgent need to buy,1
melissaestes@example.org,818.272.6837x01096,654,51+,Married with Kids,588641,just browsing,0
kayla48@example.com,453.613.5527x1413,308,36-50,Married with Kids,860217,job relocation,1
mayjeremy@example.com,+1-819-492-9071x0972,565,26-35,Married,929067,just browsing,0
brandon46@example.net,(534)212-3268x980,755,51+,Single,887824,need home loan,0
monica65@example.com,287.758.5950,489,26-35,Married,391675,urgent need to buy,1
welchmichael@example.net,001-784-511-6116x8121,828,18-25,Single,363187,job relocation,1
maryblair@example.org,+1-720-383-3540,564,51+,Married,408181,job relocation,1
tpalmer@example.com,001-970-530-5696x38947,742,51+,Married with Kids,439301,urgent need to buy,1
kevin15@example.org,001-779-962-5987x4981,525,18-25,Married,145658,not interested,0
angela51@example.net,642-394-2498x8047,798,18-25,Married,200319,job relocation,1
santiagojean@example.org,+1-235-200-3527x758,531,36-50,Married with Kids,486856,not interested,0
williammarks@example.org,(917)629-8991x410,343,18-25,Married,332554,want to buy soon,1
dstevens@example.org,755.914.7654,826,51+,Single,681323,want to buy soon,1
carolynjohnson@example.org,+1-729-834-2482,324,51+,Married with Kids,756309,need home loan,0
michaeljones@example.org,325.378.6856x029,783,36-50,Married,447123,not interested,0
chaneybrian@example.org,+1-470-379-8356,735,36-50,Single,279458,need home loan,0
floydkara@example.org,6012321172,828,51+,Married with Kids,862660,want to buy soon,1
katrinaevans@example.org,(474)612-0347x2309,842,36-50,Single,115544,just browsing,0
david32@example.com,(497)613-4277x580,341,26-35,Married with Kids,774880,job relocation,1
umcpherson@example.org,+1-946-358-0688x4412,667,26-35,Single,370765,need home loan,0
shawna46@example.net,612.279.7804,519,18-25,Single,639542,urgent need to buy,1
eeverett@example.org,001-820-664-7753x584,604,51+,Married,666774,urgent need to buy,1
fwilson@example.net,238.554.4110x1826,504,26-35,Single,564150,not interested,0
rodriguezheather@example.com,395-997-1416x4611,672,36-50,Single,777253,job relocation,1
bosborne@example.net,+1-354-706-9549,455,36-50,Married with Kids,867280,urgent need to buy,1
nielsenshelby@example.org,5915674375,695,51+,Married,214716,need home loan,0
hallbradley@example.org,227.507.2887,818,18-25,Married,360625,need home loan,0
kimrobert@example.org,313-266-6828x5259,812,51+,Married with Kids,525288,want to buy soon,1
joeldiaz@example.org,471.306.0131x16575,404,26-35,Married with Kids,967400,job relocation,1
grantjanet@example.com,619-434-2470x756,813,26-35,Married,902135,want to buy soon,1
karenwallace@example.org,272-630-3417x37232,691,18-25,Single,809980,job relocation,1
randy31@example.net,+1-434-305-2418,592,51+,Married,810681,urgent need to buy,1
tmiles@example.com,976-828-9207x666,845,36-50,Single,916592,urgent need to buy,1
bensonnicole@example.net,827.518.6551,697,26-35,Married,178573,just browsing,0
trodgers@example.org,+1-524-918-2931x308,777,36-50,Married,561783,want to buy soon,1
thomas35@example.net,(562)624-2196x590,633,18-25,Married,358411,not interested,0
eugene12@example.net,001-545-248-2658x2807,697,18-25,Married,151280,not interested,0
pamelablack@example.net,5044570312,792,51+,Married,139229,not interested,0
swilliamson@example.net,+1-271-657-4421x0892,763,36-50,Married,836323,not interested,0
charles05@example.com,404.440.9233x19081,708,18-25,Single,475684,need home loan,0
timothy38@example.org,4526654038,697,18-25,Single,630742,urgent need to buy,1
alyssa17@example.com,(697)598-7937x62726,794,26-35,Single,338322,job relocation,1
ebernard@example.net,001-702-699-9658x9499,556,36-50,Single,797243,want to buy soon,1
amanda67@example.org,001-749-466-8895x1064,338,36-50,Single,244784,need home loan,0
timothy53@example.net,001-543-684-1120x86399,656,18-25,Married,741499,just browsing,0
johnsonmichael@example.org,(585)826-7480x533,340,36-50,Single,197220,need home loan,0
lcontreras@example.org,870-741-7630,813,26-35,Married with Kids,674245,just browsing,0
jessica15@example.net,580-634-7465,573,51+,Married with Kids,627699,urgent need to buy,1
ochurch@example.org,407-622-5440,640,18-25,Married with Kids,216357,urgent need to buy,1
franklinkimberly@example.org,595-203-9415x12866,598,51+,Single,888693,urgent need to buy,1
martinezelizabeth@example.com,7126811551,844,26-35,Married,308433,job relocation,1
xcampbell@example.net,001-288-757-1350x6964,374,51+,Married,478018,job relocation,1
zphillips@example.com,890.491.2657x48308,449,36-50,Married with Kids,640693,not interested,0
richardsonerica@example.com,992-772-4919x6621,305,51+,Single,338687,need home loan,0
simmonstim@example.net,9289053904,847,26-35,Single,292331,urgent need to buy,1
kiara68@example.net,472-825-7768,626,18-25,Married,798428,job relocation,1
joyprice@example.net,664.328.8041,516,36-50,Married,928290,want to buy soon,1
sherry81@example.org,415-637-7429,473,36-50,Married,926820,just browsing,0
katie84@example.com,3383837298,538,26-35,Single,432496,just browsing,0
ymason@example.org,001-865-296-5588x116,663,18-25,Married with Kids,568507,need home loan,0
kellycrystal@example.org,+1-485-935-5626x2174,466,18-25,Married,268539,urgent need to buy,1
tpatton@example.net,+1-251-314-1026x40471,732,26-35,Single,796854,want to buy soon,1
jeff99@example.com,001-845-825-0232x0605,744,26-35,Married with Kids,785687,need home loan,0
mcgeeamy@example.org,6413765817,462,51+,Married,133803,want to buy soon,1
jack02@example.org,(756)404-7306x6006,330,18-25,Single,997951,need home loan,0
reyestracy@example.org,001-304-770-0470x782,828,26-35,Married,891506,need home loan,0
andrewfinley@example.org,672.689.2063x2842,338,36-50,Married,256084,job relocation,1
sean93@example.org,+1-955-875-7520x8409,800,18-25,Married with Kids,227605,not interested,0
mcintoshdaryl@example.net,855.315.4917x236,716,51+,Married with Kids,329678,just browsing,0
jordanraymond@example.net,001-988-810-7809x5885,401,36-50,Single,296049,urgent need to buy,1
jmathis@example.com,001-459-481-9819,550,36-50,Married with Kids,799828,not interested,0
odonnellpatrick@example.com,(478)775-5372x000,600,26-35,Single,218731,want to buy soon,1
christopher32@example.org,961-709-4755x51579,776,36-50,Single,718424,urgent need to buy,1
baileyroger@example.net,300.772.3702x324,368,51+,Married,731951,just browsing,0
lgomez@example.net,+1-790-503-7755,410,36-50,Single,667380,urgent need to buy,1
johnsonchristina@example.net,001-329-743-4236x73795,533,18-25,Married with Kids,501588,urgent need to buy,1
whitealbert@example.com,756.226.9314x9827,553,51+,Married with Kids,762273,job relocation,1
kelseynelson@example.org,+1-684-208-0416x42698,785,51+,Married,279292,need home loan,0
bakeradam@example.org,(701)209-3263x128,521,36-50,Married with Kids,356223,urgent need to buy,1
reynoldsbrenda@example.com,290.354.3256x662,636,18-25,Single,102703,urgent need to buy,1
robertgarner@example.net,(828)447-6692x64744,703,18-25,Single,210976,want to buy soon,1
thomas45@example.net,001-691-702-7319x6890,759,36-50,Married with Kids,630346,want to buy soon,1
margaretmills@example.com,(695)967-4452,817,51+,Married,505683,not interested,0
markjohnson@example.com,(348)456-9068x6807,523,51+,Single,343631,just browsing,0
james00@example.org,(398)640-0344x908,449,51+,Married with Kids,845639,not interested,0
stacytaylor@example.com,(268)716-4773,820,51+,Single,906946,not interested,0
mooreelizabeth@example.org,437.352.7737x637,798,18-25,Married,779470,just browsing,0
roger30@example.org,909-457-4489,370,18-25,Married,512781,need home loan,0
pinedadave@example.net,981-204-1910x537,355,51+,Single,544481,just browsing,0
michaela49@example.com,6767643079,669,26-35,Married,872726,not interested,0
karenevans@example.net,001-351-726-7337,594,18-25,Married,630393,urgent need to buy,1
seanoconnor@example.net,+1-776-304-1041x5613,648,26-35,Married,661451,urgent need to buy,1
pbryant@example.com,613.644.1694x77247,657,51+,Married,172919,need home loan,0
rogersmatthew@example.net,8895121157,613,26-35,Single,394816,want to buy soon,1
uchambers@example.org,(446)240-7073,752,18-25,Married,819044,need home loan,0
taylorcatherine@example.net,(288)764-3145x3075,560,18-25,Married with Kids,372811,urgent need to buy,1
mporter@example.com,+1-658-942-8355x4434,408,36-50,Single,729975,urgent need to buy,1
smithkathryn@example.com,001-238-933-9722x885,595,36-50,Married with Kids,977737,not interested,0
willievance@example.net,001-816-462-3353,829,26-35,Single,613395,job relocation,1
alejandrabrewer@example.net,628.890.6301,382,18-25,Married with Kids,656214,urgent need to buy,1
yvonnelee@example.com,513-404-4736,472,26-35,Married with Kids,282706,not interested,0
robertgraves@example.com,+1-706-974-1497,423,18-25,Married with Kids,311042,just browsing,0
barry99@example.org,(386)328-0375,603,36-50,Married,634148,job relocation,1
psmith@example.net,(814)544-2476x0955,679,26-35,Married,256235,just browsing,0
lstafford@example.com,646.723.7006x00668,575,18-25,Single,501562,need home loan,0
jordanheather@example.net,001-404-489-7079,325,26-35,Single,759191,urgent need to buy,1
cruzkatrina@example.com,(314)909-9940x7710,337,18-25,Married,533735,need home loan,0
sandra14@example.org,238-287-7434x20058,673,26-35,Married with Kids,219285,just browsing,0
bryan32@example.net,312.387.4604x79801,401,18-25,Married,216422,need home loan,0
christopher68@example.com,247.705.6843,559,18-25,Married with Kids,226032,not interested,0
lloydjulie@example.org,5406763863,359,18-25,Single,533673,just browsing,0
amandavaughn@example.net,405-850-3899x379,367,36-50,Single,287864,need home loan,0
moyerstephen@example.net,(318)959-7844x7499,464,18-25,Single,430431,want to buy soon,1
ramirezjason@example.org,901.279.0619x230,744,26-35,Married with Kids,398146,need home loan,0
fsanchez@example.net,+1-861-308-6191x080,355,36-50,Married with Kids,482364,urgent need to buy,1
conwaychristopher@example.com,+1-848-773-1406x71325,654,36-50,Single,857010,not interested,0
lewisjaime@example.com,679.698.6226x74313,630,26-35,Single,721430,want to buy soon,1
gsmith@example.com,+1-430-865-1314x1801,478,36-50,Single,898921,need home loan,0
gonzalezrobert@example.org,3942872775,680,26-35,Single,918941,job relocation,1
morrisraymond@example.net,404.667.2475x337,330,36-50,Married,720742,not interested,0
ladams@example.com,(325)622-4326,540,18-25,Married,748276,not interested,0
zstevens@example.org,588.639.2455,482,26-35,Married,102976,not interested,0
lynn19@example.org,8123963152,455,51+,Married with Kids,109442,need home loan,0
kevin92@example.net,001-684-785-2328,706,26-35,Single,909196,job relocation,1
halltracey@example.com,001-236-435-0121x9414,734,51+,Married with Kids,122418,need home loan,0
steven17@example.net,807-374-4211,727,36-50,Single,940139,need home loan,0
diana60@example.org,+1-291-455-2818x171,647,18-25,Single,997665,want to buy soon,1
jessica73@example.com,(505)560-9933x23522,593,36-50,Married,977285,job relocation,1
gouldamber@example.net,330-727-9881,630,26-35,Married,750452,need home loan,0
kleinkatherine@example.org,+1-337-476-1520,628,36-50,Married,117089,want to buy soon,1
lfernandez@example.org,001-291-352-2655x112,828,26-35,Married with Kids,417731,job relocation,1
wkennedy@example.org,8093601998,808,18-25,Married,507715,just browsing,0
anthony75@example.org,001-617-610-4719x7343,702,26-35,Married,503521,just browsing,0
sampsonanthony@example.org,(410)934-6487,491,36-50,Married with Kids,239574,need home loan,0
michael41@example.org,570.809.1604x89947,335,26-35,Married,118994,want to buy soon,1
amyhanson@example.net,982.392.2188x823,785,51+,Married,791538,want to buy soon,1
lozanolinda@example.com,250-657-5483x8988,488,18-25,Married with Kids,218028,not interested,0
rrodriguez@example.org,638.741.1334x7347,705,51+,Married with Kids,175848,job relocation,1
glewis@example.org,944.214.8618x78236,369,51+,Married,128009,job relocation,1
mfry@example.net,001-954-575-4092,618,36-50,Married with Kids,443154,job relocation,1
kellysarah@example.com,887.639.0465x2887,464,18-25,Married with Kids,275976,want to buy soon,1
smithchristina@example.com,+1-320-383-6335,747,36-50,Married,130226,want to buy soon,1
parksdawn@example.org,001-451-843-4129x19560,536,18-25,Single,698061,want to buy soon,1
joy21@example.com,383-712-2292x835,805,36-50,Married,945187,job relocation,1
warmstrong@example.com,480-651-8000x2610,836,18-25,Married with Kids,299069,job relocation,1
elizabeth53@example.net,(478)679-1232x43183,784,51+,Single,482818,just browsing,0
wyattlewis@example.net,+1-833-899-3257x974,442,51+,Married,402455,want to buy soon,1
phillipsjustin@example.com,7967810986,848,36-50,Married,839119,urgent need to buy,1
campbellcharlene@example.net,+1-394-636-1601x044,334,36-50,Married,370212,just browsing,0
ohunt@example.org,372.312.8086x136,811,36-50,Married with Kids,279242,need home loan,0
todd02@example.net,(699)278-1210x492,564,26-35,Married,321321,urgent need to buy,1
harriswendy@example.net,+1-447-942-3360x78429,738,18-25,Married,455027,need home loan,0
katherinemarshall@example.com,(715)991-8042,658,26-35,Married with Kids,664707,need home loan,0
david34@example.net,+1-892-425-0837x711,564,51+,Married,455668,job relocation,1
chelsea81@example.net,001-770-986-4822,799,36-50,Married,951876,job relocation,1
elee@example.org,(521)889-5776x39047,656,51+,Married with Kids,183951,urgent need to buy,1
zroberts@example.net,510.557.8147,381,36-50,Single,584032,just browsing,0
kevinsanders@example.com,406-691-4966,573,18-25,Married with Kids,498104,need home loan,0
crawfordsusan@example.com,686-672-2317,380,18-25,Married with Kids,876273,job relocation,1
davissamantha@example.com,+1-525-696-5107x41674,588,36-50,Single,127262,job relocation,1
hjackson@example.net,001-937-632-1711,486,36-50,Married,340884,job relocation,1
samanthacox@example.com,+1-807-936-5186x562,732,36-50,Married,931284,just browsing,0
iyoung@example.org,001-338-938-1190,796,36-50,Married with Kids,662755,not interested,0
garciamichael@example.org,310.577.4506,644,26-35,Married with Kids,653858,want to buy soon,1
ronald60@example.org,(283)535-4222,691,51+,Single,890005,job relocation,1
qhunter@example.com,(684)471-5156x9206,539,18-25,Single,936185,urgent need to buy,1
jamesgloria@example.net,(410)389-8714x66758,580,51+,Single,712159,urgent need to buy,1
warrenchristina@example.com,654-368-2041x94105,462,51+,Married,785256,not interested,0
scottrichard@example.org,(932)826-9639x6838,729,36-50,Married with Kids,375960,just browsing,0
perkinsjamie@example.net,+1-781-589-0078x74850,601,36-50,Married,578307,want to buy soon,1
jacquelineolsen@example.net,306.322.7029x0683,384,26-35,Married,593634,not interested,0
richardjacobs@example.org,001-944-737-5136,337,26-35,Single,953645,just browsing,0
andrew03@example.com,914.776.7342x613,496,36-50,Married,305662,need home loan,0
ebony07@example.com,737.657.2168,622,51+,Single,700552,job relocation,1
tmyers@example.net,+1-719-367-1594x5690,700,26-35,Single,629609,want to buy soon,1
donald82@example.com,001-202-447-3679x5746,529,18-25,Single,943008,not interested,0
jesseparker@example.com,7122066265,643,26-35,Single,111531,need home loan,0
katie55@example.net,001-979-774-2000x297,706,18-25,Single,120111,not interested,0
jordanheath@example.net,640.779.7996x23109,527,36-50,Married with Kids,363729,want to buy soon,1
anthonywilson@example.com,(598)593-0869x15669,543,36-50,Married,118094,need home loan,0
paula73@example.org,522-694-7554,771,36-50,Married with Kids,231657,urgent need to buy,1
smallandrew@example.org,442-463-5194x44006,671,26-35,Single,844658,job relocation,1
pthomas@example.org,001-683-971-2268x62476,766,36-50,Married with Kids,328459,not interested,0
jessica04@example.com,619-203-8720x950,533,36-50,Married with Kids,188764,just browsing,0
